source_episode,object_x,object_y,policy,dx,dy,dz,pregrasp_success,pregrasp_distance,grasp_success,alignment_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,lift_tracking_error,object_lift,object_xy_motion,hand_object_distance
27,0.4140132665634155,-0.096694678068161,original,0.0,-0.005,0.0,1,0.038622889667749405,0,0.007895196353337422,0.02245189534644494,0.0024629533290863037,-0.006566641032695775,-0.021328401044011125,0.01266924112986282,-5.509704351425171e-06,0.002296635351517072,0.3221787988367841
28,0.4204081296920776,-0.1092793270945549,targeted,0.0,-0.005,0.0,1,0.03632752597332001,0,0.00589655350719263,0.02179030558071394,0.001986175775527954,-0.004682217836380009,-0.021188425123691568,0.01237765287227024,4.466809332370758e-05,0.0027251406514420947,0.32182309417349575
29,0.4126269817352295,-0.1127190440893173,targeted,0.0,-0.005,0.0,1,0.03791622444987297,0,0.0058907740966823875,0.021711763403692477,0.0021696388721466064,-0.004856285750865941,-0.0210501740127802,0.012355967560685206,7.193908095359802e-05,0.002369665889683801,0.321723319092658
32,0.4252530634403229,-0.1087189391255378,targeted,0.0,-0.005,0.0,1,0.03552308306097984,0,0.005994389684250416,0.02178304975944987,0.0018821358680725098,-0.004567016959190373,-0.021215588077902803,0.012394486437631604,4.095211625099182e-05,0.001749552395055198,0.3218110942325835
67,0.4106421172618866,-0.1034040749073028,targeted,0.0,-0.005,0.0,1,0.037347082048654556,0,0.005691891872190925,0.021690877774186424,0.0023155510425567627,-0.004956868588924412,-0.020989565402269372,0.01234094205913066,2.9787421226501465e-05,0.002556729125630796,0.32172244710459535
14,0.4063156247138977,-0.0965389907360076,original,0.0,-0.005,0.005,1,0.039500731974840164,0,0.008048505040539588,0.018415698146879635,0.002733767032623291,-0.006483708620071416,-0.017018401175737385,0.012693381062668005,-7.169321179389954e-06,0.0026837287669081774,0.3227952081741197
27,0.4140132665634155,-0.096694678068161,original,0.0,-0.005,0.005,1,0.038622889667749405,0,0.007895196353337422,0.018389052117843023,0.002463102340698242,-0.006406408846378331,-0.017060137465596203,0.012707719184339451,-4.861503839492798e-07,0.002790035665610512,0.32287641454924776
28,0.4204081296920776,-0.1092793270945549,targeted,0.0,-0.005,0.005,1,0.03632752597332001,0,0.00589655350719263,0.017156110710655155,0.0017199516296386719,-0.004442741274833684,-0.016481381952762608,0.012411560483575517,3.5610049962997437e-05,0.0025746036401724515,0.32234744414755595
29,0.4126269817352295,-0.1127190440893173,targeted,0.0,-0.005,0.005,1,0.03791622444987297,0,0.0058907740966823875,0.01699541971740985,0.001925438642501831,-0.00466157972812653,-0.016229807510972027,0.012387458055767426,1.7080456018447876e-06,0.00238510200407913,0.3222861124131455
32,0.4252530634403229,-0.1087189391255378,targeted,0.0,-0.005,0.005,1,0.03552308306097984,0,0.005994389684250416,0.017194584329776972,0.0016044080257415771,-0.004314628541469578,-0.016566942557692532,0.01242367169238541,1.0235235095024109e-05,0.001970941210871139,0.32239198023099996
67,0.4106421172618866,-0.1034040749073028,targeted,0.0,-0.005,0.005,1,0.037347082048654556,0,0.005691891872190925,0.016976660799932857,0.0020915567874908447,-0.004776326119899754,-0.016156085878610615,0.012373336098977193,-2.6598572731018066e-06,0.0023810633268152525,0.32222751196637767
14,0.4063156247138977,-0.0965389907360076,original,0.0,-0.005,0.01,1,0.03915790468454361,0,0.008088861716066095,0.014412248558769278,0.0026474595069885254,-0.006174770295619969,-0.012750532478094101,0.012710155777045613,-2.0949169993400574e-05,0.0026752948590113824,0.3234414196676472
27,0.4140132665634155,-0.096694678068161,original,0.0,-0.005,0.01,1,0.038622889667749405,0,0.007895196353337422,0.01444973682008611,0.0025157630443573,-0.006170404255390172,-0.012821542099118233,0.01274805889466084,2.0973384380340576e-06,0.00302521536916964,0.3235707950367004
28,0.4204081296920776,-0.1092793270945549,targeted,0.0,-0.005,0.01,1,0.03632752597332001,0,0.00589655350719263,0.012359921167550936,0.0014992058277130127,-0.004495558440685277,-0.011415340006351471,0.012430949454432053,-3.3229589462280273e-06,0.0020158686372192705,0.32266901174241147
29,0.4126269817352295,-0.1127190440893173,targeted,0.0,-0.005,0.01,1,0.03791622444987297,0,0.0058907740966823875,0.01219407814505505,0.0017227530479431152,-0.0047817724943161055,-0.011084327474236488,0.01240709894335514,1.1548399925231934e-07,0.0022395045034988544,0.3225614998156747
